"","game_response","game_liked_loved","game_good_excellent","game_disliked_hated","game_special_unique","game_bad_terrible","game_low_high","game_memorable_unforgettable"
"68","despise",0,0,1,0,0,0,0
"69","despised",18,0,10,0,0,0,0
"70","detest",1,0,1,0,0,0,0
"71","detestable",0,1,0,0,0,0,0
"72","detested",4,0,10,0,0,0,0
"73","different",0,0,0,9,0,0,3
"74","disapproved",0,0,2,0,0,0,0
"75","discarded",1,0,0,0,0,0,0
"76","disfavor",0,0,1,0,0,0,0
"77","disfavored",2,0,0,0,0,0,0
"78","disgusted",0,0,1,0,0,0,0
"79","disgusting",0,1,0,0,5,0,0
"80","dislikable",0,0,0,0,0,0,1
"81","dislike",1,0,0,0,0,0,0
"82","disliked",45,0,9,0,0,0,0
"83","dismissed",1,0,0,0,0,0,0
"84","distaste",0,0,1,0,0,0,0
"85","distinct",0,0,0,1,0,0,0
"86","distinctive",0,0,0,1,0,0,0
"87","distinguished",0,0,0,0,0,0,1
"88","dour",0,0,0,0,0,1,0
"89","dreadful",0,0,0,0,4,0,0
"90","dull",0,4,0,9,0,0,14
"91","dumb",0,0,0,0,2,0,0
"92","easier",0,0,0,0,0,1,0
"93","eleven",0,0,0,0,0,1,0
"94","enduring",0,0,0,0,0,0,1
"95","enjoyable",0,2,0,1,4,0,3
"96","enjoyed",15,0,39,0,0,0,0
"97","entertaining",0,0,0,0,1,0,1
"98","enthralling",0,0,0,1,0,0,0
"99","envied",0,0,1,0,0,0,0
"100","epic",0,0,0,0,1,1,0
"101","excellent",0,3,0,3,6,12,4
"102","exceptional",0,2,0,4,1,0,1
"103","exciting",0,1,0,1,1,0,1
"104","exclusive",0,0,0,1,0,0,0
"105","exhilarating",0,0,0,0,1,0,0
"106","extraordinary",0,1,0,3,0,0,2
"107","fabulous",0,2,0,0,1,0,0
"108","faceless",0,0,0,0,0,0,1
"109","fair",0,2,0,0,0,0,0
"110","familiar",0,0,0,1,0,0,0
"111","fancied",0,0,4,0,0,0,0
"112","fantastic",0,7,0,1,4,2,2
"113","fast-paced",0,1,0,0,0,0,0
"114","faulty",0,0,0,0,1,0,0
"115","favorable",0,0,0,0,0,4,0
"116","favored",3,0,4,0,0,0,0
"117","feared",1,0,1,0,0,0,0
"118","fine",0,0,0,1,1,0,0
"119","first",0,0,0,0,0,1,0
"120","first-rate",0,0,0,0,1,0,0
"121","five-star",0,0,0,0,0,1,0
"122","flat",0,0,0,1,0,0,0
"123","flawed",0,0,0,0,2,0,0
"124","forgetful",0,0,0,0,0,0,2
"125","forgettable",0,0,1,2,0,0,50
"126","forgiving",0,0,0,0,0,1,1
"127","forgot",1,0,0,0,0,0,0
"128","forgotten",0,0,0,0,0,0,1
"129","fresh",0,0,0,1,0,0,0
"130","fun",0,5,0,1,9,0,4
"131","generic",0,0,0,3,0,0,1
"132","glorious",0,0,0,0,1,0,0
"133","good",1,4,0,2,36,20,3
"134","goofy",0,1,0,0,0,0,0
"135","grand",0,0,0,0,1,1,0
"136","great",1,18,0,5,38,11,4
"137","greater",0,0,0,1,0,0,0
"138","gross",0,1,0,0,0,0,0
"139","harsh",0,0,0,0,0,1,0
"140","hate",2,0,0,0,0,0,0
"141","hated",68,1,20,0,0,0,0
"142","haunting",0,0,0,0,0,0,1
"143","hearted",0,0,1,0,0,0,0
"144","high",0,0,0,0,0,32,0
"145","higher",0,0,0,0,0,5,0
"146","historic",0,0,0,0,0,0,2
"147","horrendous",1,1,0,0,1,0,0
"148","horrible",0,8,0,1,15,1,0
"149","horrid",0,0,0,0,1,0,0
"150","horrific",0,0,0,0,1,0,0
"151","huge",0,0,0,0,0,2,0
"152","idiotic",0,1,0,0,0,0,0
"153","idolized",1,0,0,0,0,0,0
"154","illustrious",0,0,0,0,0,0,1
"155","imperfect",0,1,0,0,0,0,0
"156","impressive",0,0,0,0,0,1,1
"157","inane",0,1,0,0,0,0,0
"158","incomparable",0,1,0,0,0,0,0
"159","inconsequential",0,0,0,0,0,0,1
"160","incredible",0,0,0,0,0,0,1
"161","indecipherable",0,0,0,0,0,0,1
"162","indifferent",0,1,0,0,0,0,0
"163","inferior",0,6,0,0,0,0,0
"164","innovative",0,0,0,0,1,0,0
"165","inspiring",0,0,0,0,0,0,1
"166","insufficient",0,0,0,0,1,0,0
"167","interesting",0,2,0,6,1,0,2
"168","intrigued",0,1,0,0,0,1,1
"169","intriguing",0,0,0,2,1,0,0
"170","is",0,0,1,0,0,0,0
"171","lackluster",0,0,0,0,1,0,1
"172","lame",0,3,0,0,1,1,2
"173","left",1,0,0,0,0,0,0
"174","legendary",0,0,0,0,0,0,1
"175","lesser",0,0,0,0,0,2,0
"176","lifeless",0,0,0,0,0,0,1
"177","likable",0,0,0,0,1,0,0
"178","liked",14,0,58,0,0,0,0
"179","little",0,0,0,0,0,1,0
"180","loathe",0,0,1,0,0,0,0
"181","loathed",19,0,12,0,0,0,0
"182","long-lasting",0,0,0,0,0,0,1
"183","loser",0,0,0,0,1,0,0
"184","lousy",0,1,0,0,0,0,0
"185","love",0,0,1,0,0,0,0
"186","loved",22,0,64,0,0,1,0
"187","lovely",0,0,0,0,1,0,1
"188","low",0,0,0,0,0,38,0
"189","lower",0,0,0,0,0,5,0
"190","magnetizing",0,1,0,0,0,0,0
"191","magnificent",0,1,0,0,0,0,0
"192","marvelous",0,1,0,0,1,0,0
"193","mastered",1,0,0,0,0,0,0
"194","mature",0,0,0,0,0,1,0
"195","meager",0,0,0,0,0,1,0
"196","meaningful",0,0,0,0,0,0,1
"197","mediocre",0,4,0,4,2,8,3
"198","medium",0,0,0,0,0,1,0
"199","memorable",0,0,0,4,1,0,22
"200","mesmerizing",0,0,0,1,0,0,1
"201","mind-numbing",0,0,0,0,0,0,1
"202","minimum",0,0,0,0,0,1,0
"203","miniscule",0,0,0,0,0,1,0
"204","misery",0,1,0,0,0,0,0
"205","moderate",0,0,0,0,0,4,0
"206","monotonous",0,0,0,0,1,0,0
"207","monumental",0,0,0,0,0,0,2
"208","mundane",0,0,0,1,0,0,1
"209","NA",1,0,0,0,0,0,0
"210","nameless",0,0,0,0,0,0,1
"211","neat",0,0,0,1,0,0,0
"212","negative",0,0,0,0,0,7,0
"213","neglected",1,0,0,0,0,0,0
"214","new",0,0,0,1,0,0,0
"215","nice",0,1,0,1,2,0,1
"216","no",0,0,3,3,0,0,0
"217","normal",0,1,0,4,0,0,3
"218","not-good",0,1,0,0,0,0,0
"219","notable",0,1,0,0,0,1,2
"220","noteworthy",0,0,0,0,0,0,3
"221","objected",1,0,0,0,0,0,0
"222","odd",0,0,0,1,0,0,0
"223","offensive",0,0,0,0,1,0,1
"224","ok",0,4,0,0,1,0,0
"225","okay",0,4,0,0,4,0,0
"226","old",0,0,0,1,0,0,0
"227","one-of-a-kind",0,0,0,3,0,0,0
"228","ordinary",0,1,0,10,0,0,5
"229","original",0,0,0,5,0,0,0
"230","outstanding",0,5,0,2,5,3,2
"231","overrated",0,1,0,0,0,0,0
"232","panned",1,0,0,0,0,0,0
"233","pathetic",0,1,0,1,0,0,0
"234","peerless",0,1,0,0,0,0,0
"235","perfect",0,1,0,1,3,1,0
"236","plain",0,1,0,2,0,0,3
"237","played",1,0,0,0,0,0,0
"238","pleasant",0,0,0,0,1,0,0
"239","poor",0,8,0,0,6,22,0
"240","positive",0,0,0,0,0,5,0
"241","powerful",0,1,0,0,0,0,0
"242","praised",0,0,2,0,0,0,0
"243","predictable",0,1,0,0,0,0,1
"244","preferred",1,0,0,0,0,0,0
"245","premier",0,0,0,0,0,1,0
"246","prized",2,0,0,0,0,0,0
"247","prominent",0,0,0,0,0,1,0
"248","rare",0,0,0,4,0,0,0
"249","rated",1,0,0,0,0,0,0
"250","really-bad",0,1,0,0,0,0,0
"251","reasonable",0,0,0,0,0,1,0
"252","recommended",0,0,0,0,0,1,0
"253","reduced",0,0,0,0,0,1,0
"254","redundant",0,1,0,1,0,0,0
"255","regular",0,1,0,3,0,0,1
"256","rejected",0,0,1,0,0,0,0
"257","relished",4,0,0,0,0,0,0
"258","remarkable",0,0,0,1,0,0,1
"259","remembering",0,0,0,0,0,0,1
"260","repetitive",0,0,0,2,0,0,1
"261","repulsed",0,0,1,0,0,0,0
"262","repulsive",0,1,0,0,0,0,0
"263","resented",1,0,0,0,0,0,0
"264","respected",1,0,0,0,0,0,0
"265","returned",0,0,1,0,0,0,0
"266","revered",1,0,0,0,0,0,0
"267","reviled",1,0,0,0,0,0,0
"268","ridiculous",0,0,0,0,1,0,0
"269","riveting",0,2,0,0,0,0,0
"270","rotten",0,2,0,0,0,0,0
"271","routine",0,0,0,2,0,0,0
"272","rued",0,0,1,0,0,0,0
"273","run-of-the-mill",0,0,0,1,0,0,0
"274","sad",0,0,0,2,2,0,0
"275","same",0,0,0,2,0,0,0
"276","satisfactory",0,1,0,0,1,0,0
"277","savored",4,0,0,0,0,0,0
"278","second-rate",0,1,0,0,0,0,0
"279","shared",1,0,0,0,0,0,0
"280","shitty",0,1,0,0,0,0,0
"281","shoddy",0,0,0,0,1,0,0
"282","short",0,0,0,0,0,0,1
"283","significant",0,0,0,0,0,0,2
"284","silly",0,1,0,0,0,0,0
"285","similar",0,0,0,2,0,0,0
"286","singular",0,0,0,1,0,0,0
"287","skimpy",0,0,0,0,0,1,0
"288","slow",0,1,0,0,0,0,0
"289","small",0,0,0,0,0,4,0
"290","soso",0,0,0,0,0,1,0
"291","special",0,0,0,8,2,0,5
"292","specialized",0,0,0,1,0,0,0
"293","spectacular",0,0,0,0,0,2,1
"294","splendid",0,0,0,0,1,0,0
"295","stale",0,0,0,2,0,0,1
"296","standalone",0,0,0,1,0,0,0
"297","standard",0,0,0,4,0,0,0
"298","standout",0,0,0,0,0,0,1
"299","stereotypical",0,0,0,1,0,0,0
"300","stinky",0,2,0,0,1,0,0
"301","striking",0,0,0,0,0,0,1
"302","strong",0,0,0,0,0,1,0
"303","stupid",0,2,0,1,0,0,1
"304","subpar",0,1,0,1,0,1,0
"305","sucked",0,0,1,0,0,0,0
"306","sucks",0,0,1,0,0,0,0
"307","super",0,1,0,0,1,0,0
"308","superb",0,2,0,1,2,0,0
"309","superior",0,0,0,0,1,5,0
"310","supported",0,0,1,0,0,0,0
"311","swell",0,2,0,0,0,0,0
"312","tedious",0,0,0,1,1,0,1
"313","terrible",1,22,0,0,8,4,1
"314","terrific",1,2,0,0,2,2,1
"315","thinking",0,0,0,0,0,0,1
"316","this",0,0,1,0,0,0,0
"317","thrilling",0,2,0,0,1,0,0
"318","tiresome",0,1,0,0,0,0,0
"319","tolerated",1,0,1,0,0,0,0
"320","top",0,0,0,0,0,3,0
"321","trash",0,2,0,0,0,0,0
"322","trashed",1,0,0,0,0,0,0
"323","tremendous",0,0,0,0,1,1,0
"324","tried",1,0,0,0,0,0,0
"325","trite",0,1,0,2,0,0,1
"326","typical",0,0,0,6,0,0,4
"327","ugly",0,1,0,0,1,0,0
"328","unacceptable",0,0,0,0,1,1,0
"329","unbelievable",0,1,0,0,0,0,0
"330","uncommon",0,0,0,3,0,0,0
"331","uncreative",0,0,0,2,0,0,1
"332","underpaid",0,0,1,0,0,0,0
"333","understood",0,0,1,0,0,0,0
"334","unexciting",0,0,0,1,0,0,0
"335","unfavorable",0,0,0,0,0,2,0
"336","unforgettable",0,0,0,0,0,0,7
"337","unimaginative",0,0,0,0,0,0,1
"338","unimpressive",0,0,0,0,0,0,1
"339","uninspiring",0,1,0,0,0,0,1
"340","uninstalled",1,0,0,0,0,0,0
"341","uninteresting",0,1,0,1,0,0,1
"342","unique",0,0,0,16,0,0,7
"343","unlikable",0,0,0,0,0,0,1
"344","unlikeable",0,0,0,0,0,0,1
"345","unliked",1,0,0,0,0,0,0
"346","unlikely",0,0,0,0,1,0,0
"347","unmemorable",0,0,0,1,0,0,5
"348","unnoteworthy",0,0,0,2,0,0,0
"349","unoriginal",0,1,0,8,1,0,4
"350","unplayable",0,0,0,0,2,0,0
"351","unpleasant",0,1,0,0,1,0,0
"352","unremarkable",0,0,0,1,0,0,2
"353","unsatisfactory",0,1,0,1,0,1,1
"354","unsavory",0,0,0,0,0,1,0
"355","unspecial",0,0,0,1,0,0,0
"356","unsuitable",0,0,0,1,0,0,0
"357","ununique",0,0,0,1,0,0,0
"358","unusual",0,0,0,2,0,0,0
"359","useful",0,0,0,1,0,0,0
"360","useless",0,0,0,1,0,0,0
"361","usual",0,0,0,2,0,0,1
"362","viewed",0,0,1,0,0,0,0
"363","wanted",0,0,1,0,0,0,0
"364","weak",0,0,0,1,0,0,2
"365","well",0,1,0,0,0,0,0
"366","well-executed",0,0,0,0,1,0,0
"367","well-planned",0,1,0,0,0,0,0
"368","winner",0,0,0,0,0,0,1
"369","wonderful",2,6,0,1,11,1,0
"370","worse",0,0,0,0,1,1,0
"371","worshiped",0,0,2,0,0,0,0
"372","worshipped",1,0,1,0,0,0,0
"373","worthwhile",0,1,0,0,0,0,1
"374","wow",0,0,0,1,0,0,0
"375","wretched",0,0,0,0,1,0,0
"376","wrong",0,1,0,0,0,0,0
"377","yucky",0,0,0,0,0,1,0
"378","zero",0,0,0,0,0,4,0
